restaurant_id,class
153,Mexican
154,Polish
154,European
155,American
155,Bar
155,Pub
156,American
156,Fast Food
156,Barbecue
157,Seafood
157,Street Food
158,American
158,Cafe
158,Vegetarian Friendly
159,French
159,European
159,Gluten Free Options
160,American
160,Vegetarian Friendly
160,Vegan Options
161,Cafe
162,American
162,Steakhouse
162,Bar
163,Fast Food
164,Italian
164,Pizza
164,Vegetarian Friendly
165,American
165,Seafood
165,Pub
166,Caribbean
166,Latin
166,Puerto Rican
167,Pub
168,French
168,Cafe
168,Bar
169,American
169,Bar
169,Pizza
170,Chinese
171,American
172,Asian
172,Vegetarian Friendly
172,Vegan Options
173,American
173,Vegetarian Friendly
173,Vegan Options
174,American
174,Seafood
174,Vegetarian Friendly
175,Japanese
175,Sushi
175,Asian
176,Italian
176,Pizza
176,Vegetarian Friendly
177,American
177,Bar
177,Pub
178,American
178,Fast Food
178,Street Food
179,Asian
179,Vegetarian Friendly
179,Mexican
180,Pizza
181,Mexican
181,American
181,Latin
182,Japanese
182,Sushi
182,Asian
183,Spanish
184,Asian
184,Vietnamese
184,Soups
185,Grill
185,Hawaiian
186,American
186,Pizza
186,Cafe
187,Indian
187,Asian
187,Vegetarian Friendly
188,American
188,Wine Bar
189,Japanese
189,Sushi
189,Asian
190,Mexican
190,Latin
190,Vegetarian Friendly
191,Indian
191,Cafe
191,Street Food
192,Polish
192,European
192,Fusion
193,Bar
193,Pub
194,Asian
194,Korean
195,American
195,Bar
195,Pizza
196,American
196,Bar
196,Contemporary
197,Italian
197,Pizza
197,Vegetarian Friendly
198,Bar
198,Pub
199,American
199,Bar
199,Pub
200,Gastropub
200,Gluten Free Options
201,Chinese
201,Cantonese
201,Hong Kong
202,Seafood
203,American
203,Soups
204,Mexican
204,Spanish
204,Eastern European
205,American
205,Bar
205,Pub
206,Chinese
206,Asian
207,European
207,Spanish
208,Chinese
209,Japanese
209,Asian
209,Vegetarian Friendly
209,Pub
210,Chinese
210,Asian
210,Szechuan
211,Chinese
211,American
212,American
213,Italian
213,American
213,Pizza
214,Caribbean
214,Spanish
215,American
215,Contemporary
215,Vegan Options
215,Thai
216,Chinese
216,Asian
216,Cantonese
217,Italian
217,Mediterranean
217,European
218,Quick Bites
218,Bar
219,Steakhouse
219,Gluten Free Options
220,Greek
221,Italian
221,American
221,Pizza
222,Healthy
223,American
223,South American
224,Mediterranean
225,Pizza
226,International
227,Mexican
227,Lebanese
228,Caribbean
228,Latin
228,Bar
229,Cafe
229,European
229,Greek
229,Pizza
230,Chinese
230,Japanese
230,Sushi
231,Moroccan
231,Mediterranean
231,Middle Eastern
232,Asian
232,Vietnamese
232,Vegetarian Friendly
232,Filipino
233,American
234,American
234,Steakhouse
234,Gluten Free Options
235,American
235,Bar
235,Contemporary
235,Chinese
236,Deli
237,Steakhouse
237,Latin
237,South American
238,Steakhouse
238,Latin
238,Argentinean
239,Indian
239,Asian
239,Pakistani
239,Seafood
240,Italian
240,Vegetarian Friendly
241,Pub
242,Mexican
242,Bar
242,Pub
242,International
243,Middle Eastern
243,Pakistani
243,Halal
244,American
245,Italian
246,Diner
246,American
247,Mexican
247,Fast Food
248,Chinese
248,Asian
248,Cantonese
249,Asian
249,Indonesian
250,International
250,Contemporary
251,Italian
251,American
